Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
LSB: Births Live (Estimated),0202 Mai,2021,789,,,,,
LSB: Births Live (Estimated),0202 Mai,2017,860,,,,,
LSB: Births Live (Estimated),0202 Mai,2016,877,,,,,
LSB: Births Live (Estimated),0202 Mai,2015,864,,,,,
LSB: Survival under 1 year (Estimated),0611 Phoukhoun,2023,602,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2023,2550,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2022,2558,,,,,
LSB: Births Live (Estimated),0202 Mai,2019,826,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2021,2563,,,,,
LSB: Births Live (Estimated),0202 Mai,2018,843,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2020,2562,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0406 Houn,2016,18270,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0406 Houn,2015,17727,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0406 Houn,2018,19369,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0406 Houn,2017,18819,,,,,
LSB: Survival under 1 year (Estimated),0611 Phoukhoun,2022,618,,,,,
LSB: Survival under 1 year (Estimated),0611 Phoukhoun,2021,633,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0406 Houn,2019,19912,,,,,
LSB: Survival under 1 year (Estimated),0611 Phoukhoun,2020,647,,,,,
LSB: Survival under 1 year (Estimated),0109 Pakngum,2022,1016,,,,,
LSB: Population (Estimated-single age),0304 Viangphoukha,2018,26336,,,,,
LSB: Survival under 1 year (Estimated),0109 Pakngum,2023,983,,,,,
LSB: Population (Estimated-single age),0304 Viangphoukha,2019,26853,,,,,
LSB: Survival under 1 year (Estimated),0109 Pakngum,2020,1079,,,,,
LSB: Population (Estimated-single age),0304 Viangphoukha,2016,25291,,,,,
LSB: Survival under 1 year (Estimated),0109 Pakngum,2021,1046,,,,,
LSB: Population (Estimated-single age),0304 Viangphoukha,2017,25818,,,,,
LSB: Population (Estimated-single age),0304 Viangphoukha,2015,24773,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2017,38992,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2016,38285,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2015,37599,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2019,2511,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2018,2459,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2017,2405,,,,,
LSB: Population (Estimated-single age),0605 Nambak,2023,78202,,,,,
LSB: Population (Estimated-single age),0605 Nambak,2022,77406,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2016,2355,,,,,
LSB: Births Live (Estimated),1301 Kaysone Phomvihane,2015,2252,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2019,40339,,,,,
LSB: Population (Estimated-single age),0605 Nambak,2021,76582,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2018,39680,,,,,
LSB: Population (Estimated-single age),0605 Nambak,2020,75742,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2019,408,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2017,14322,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2018,14529,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2015,13894,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2016,14113,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2016,5260,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2015,5172,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2018,5434,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2019,14712,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2017,5344,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2019,5520,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2017,1766,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2023,53570,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2016,1772,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2019,1745,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2022,52770,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2018,1757,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2021,51933,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2017,408,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2020,51083,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2018,409,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2015,2235,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2015,348,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2016,407,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2021,5693,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2020,5608,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2023,5866,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0802 Khop,2022,5777,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2019,50194,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0609 Chomphet,2019,7653,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2018,49292,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0609 Chomphet,2018,7516,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0609 Chomphet,2017,7387,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2020,319,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2021,311,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0609 Chomphet,2016,7255,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2022,299,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0609 Chomphet,2015,7131,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2023,290,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2015,340,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2016,350,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2017,343,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2017,48347,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2018,336,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2016,47388,,,,,
LSB: Survival under 1 year (Estimated),0907 Phaxai,2019,327,,,,,
LSB: Population (Estimated-single age),1101 Pakxan,2015,46399,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2018,735,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2018,723,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2016,5425,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2017,755,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2019,726,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2017,5549,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2018,5678,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2016,774,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2016,712,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2015,857,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2017,716,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2019,5806,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2015,811,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2019,714,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2015,5298,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2023,6719,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2022,6701,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1701 Xaisettha (Attapu),2023,10649,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1701 Xaisettha (Attapu),2020,10122,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2020,4990,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2021,4885,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1701 Xaisettha (Attapu),2022,10480,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2022,4778,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1701 Xaisettha (Attapu),2021,10297,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2023,4669,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2019,6586,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2022,15150,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2023,15266,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2023,6365,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2023,715,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2016,4999,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2017,5031,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2018,5042,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2019,5033,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2016,6375,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2015,6300,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2018,6522,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2017,6452,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2020,408,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2021,403,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2021,6673,,,,,
LSB: Children under 5 years (Estimated),1206 Boualapha,2015,4947,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0707 Sopbao,2020,6632,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2021,678,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2021,725,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2022,722,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2020,694,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2020,5946,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2022,400,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2021,6082,,,,,
LSB: Births Live (Estimated),0811 Xaisathan,2023,394,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1008 Met,2022,6224,,,,,
LSB: Survival under 1 year (Estimated),0709 Kouan,2020,725,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2020,14876,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0701 Xamnua,2021,15021,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2023,645,,,,,
LSB: Survival under 1 year (Estimated),0602 Xiangngeun,2022,662,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2023,32326,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2022,32007,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2021,31682,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2020,31329,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2021,6734,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2020,6650,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2023,6887,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2022,6813,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2019,16668,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2015,653,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2016,679,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2019,642,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2015,8769,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2017,669,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2017,8507,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2018,656,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2016,8652,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2019,8122,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2018,8329,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2015,15245,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2016,15610,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2017,15961,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2018,16309,,,,,
LSB: Births Live (Estimated),0703 Hiam,2019,328,,,,,
LSB: Births Live (Estimated),0703 Hiam,2018,330,,,,,
LSB: Births Live (Estimated),0703 Hiam,2017,334,,,,,
LSB: Births Live (Estimated),0703 Hiam,2016,338,,,,,
LSB: Births Live (Estimated),0703 Hiam,2015,312,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2020,7872,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2022,7595,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2021,7723,,,,,
LSB: Children under 5 years (Estimated),0605 Nambak,2023,7478,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2020,40986,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2020,948,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2021,936,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2021,20175,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2020,19953,,,,,
LSB: Births Live (Estimated),0703 Hiam,2023,305,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2023,20607,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2020,37028,,,,,
LSB: Births Live (Estimated),0703 Hiam,2022,312,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2023,42875,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2022,20389,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2021,37673,,,,,
LSB: Births Live (Estimated),0703 Hiam,2021,317,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2022,38290,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2022,42254,,,,,
LSB: Population (Estimated-single age),1202 Mahaxai,2021,41616,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2023,38896,,,,,
LSB: Births Live (Estimated),0703 Hiam,2020,321,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2019,963,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2023,877,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2016,7805,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2015,7675,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2015,1016,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2018,8069,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2020,959,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2017,7940,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2016,995,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2022,905,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2017,989,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2021,933,,,,,
LSB: Births Live (Estimated),1106 Viangthong,2018,977,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2019,8208,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2016,19105,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2015,18908,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2018,19532,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2017,19310,,,,,
LSB: Population (Estimated-single age),1009 Viangkham (Vientiane),2019,19750,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2022,619,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2023,615,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2020,628,,,,,
LSB: Survival under 1 year (Estimated),1010 Hinheup,2021,624,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2020,17045,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2021,17442,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2021,8475,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2020,8341,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2023,8731,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0609 Chomphet,2022,8601,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2022,17845,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1310 Xonbouli,2023,18250,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2016,6280,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2015,6190,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2018,6469,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2017,20020,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2017,6374,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2016,19454,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2015,18890,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0604 Pak-ou,2019,6562,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2019,21154,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2018,20588,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2019,30963,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2018,30594,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2017,30214,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2017,1031,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2017,34909,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2018,35660,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2016,1053,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2019,984,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2019,36365,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2018,1009,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2015,33402,,,,,
LSB: Population (Estimated-single age),1206 Boualapha,2016,34167,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2016,29812,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1309 Champhon,2015,29386,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2020,21721,,,,,
LSB: Survival under 1 year (Estimated),0904 Khoun,2015,964,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2023,23420,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2022,22859,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0406 Houn,2021,22290,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2023,1166,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2020,1618,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2022,1176,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2021,1186,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2020,1193,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2023,1577,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2021,1607,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2022,1594,,,,,
LSB: Children under 5 years (Estimated),0201 Phongsali,2015,2884,,,,,
LSB: Children under 5 years (Estimated),0201 Phongsali,2016,2869,,,,,
LSB: Children under 5 years (Estimated),0201 Phongsali,2017,2840,,,,,
LSB: Children under 5 years (Estimated),0201 Phongsali,2018,2800,,,,,
LSB: Children under 5 years (Estimated),0201 Phongsali,2019,2751,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2018,1755,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2019,1690,,,,,
LSB: Children under 5 years (Estimated),0205 Bounnua,2022,2417,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2015,5907,,,,,
LSB: Children under 5 years (Estimated),0205 Bounnua,2023,2424,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2016,5920,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2017,5910,,,,,
LSB: Children under 5 years (Estimated),0205 Bounnua,2020,2415,,,,,
LSB: Children under 5 years (Estimated),0205 Bounnua,2021,2413,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2018,5880,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2019,5822,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2022,6178,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2021,6149,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2020,6114,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2016,1018,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2018,1047,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2017,1067,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2019,1025,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2016,1861,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2017,1812,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2019,1205,,,,,
LSB: Survival under 1 year (Estimated),1304 Phin,2015,2101,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2018,1215,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2017,1222,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2016,1225,,,,,
LSB: Survival under 1 year (Estimated),1404 Lakhonpheng,2015,1285,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2015,389,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1202 Mahaxai,2019,900,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1202 Mahaxai,2018,912,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2017,354,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2020,5733,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2021,5627,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2016,358,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2022,5527,,,,,
LSB: Children under 5 years (Estimated),0504 Pha-oudom,2023,5438,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1202 Mahaxai,2017,922,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1202 Mahaxai,2016,949,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2023,14108,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2019,282,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2018,347,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2023,6199,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2018,846,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2016,8673,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2017,845,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2015,8465,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2019,845,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2019,9277,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2020,13753,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2021,13882,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2018,9085,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2016,842,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2015,885,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2022,14000,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2017,8880,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2020,277,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2021,971,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2020,1000,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2023,931,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1206 Boualapha,2022,951,,,,,
LSB: Survival under 1 year (Estimated),0803 Hongsa,2017,648,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2022,271,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2021,274,,,,,
LSB: Survival under 1 year (Estimated),0803 Hongsa,2016,660,,,,,
LSB: Survival under 1 year (Estimated),0803 Hongsa,2015,634,,,,,
LSB: Births Live (Estimated),1107 Xaichamphon,2023,316,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2021,840,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2019,6075,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2018,6022,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2020,844,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2023,843,,,,,
LSB: Survival under 1 year (Estimated),0803 Hongsa,2019,620,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2017,5963,,,,,
LSB: Survival under 1 year (Estimated),1805 Longxan,2022,835,,,,,
LSB: Survival under 1 year (Estimated),0803 Hongsa,2018,635,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2015,12889,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2016,5897,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2023,9900,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0707 Sopbao,2015,5832,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2016,13082,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2017,13267,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2022,9767,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2018,13448,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2021,9614,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0701 Xamnua,2019,13608,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1701 Xaisettha (Attapu),2020,9455,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1205 Nyommalat,2015,8776,,,,,
